Model,Precision,Recall,mAP@0.5,mAP@0.5:0.95,F1 Score,Accuracy
Adam_A1,0.96558,0.97967,0.98839,0.76213,0.9725734710841943,0.9452873403667669
Adam_A2,0.96993,0.97345,0.98839,0.75919,0.9716863121539215,0.9434242243271782
Adam_A3,0.9703,0.97903,0.98898,0.7665,0.9746449515243948,0.9493605893201369
Adam_A4,0.96286,0.96392,0.98632,0.72414,0.963389208425867,0.9268770586832829
SGD_S1,0.9679,0.98035,0.98877,0.7667,0.9740847200899679,0.9482816738283341
SGD_S2,0.96859,0.98148,0.98853,0.76259,0.9749918984488257,0.9500980785083587
SGD_S3,0.97015,0.97625,0.98888,0.76192,0.9731899413327469,0.946437026363596
SGD_S4,0.9684,0.97886,0.98839,0.7648,0.9736014062829791,0.9472942614040586
RSMProp_R1,0.00196,0.08275,0.00136,0.00043,0.0038292547603026757,8.467447852380041e-05
RSMProp_R2,0.85026,0.77282,0.85556,0.49644,0.8096921018729195,0.6354795952976078
RSMProp_R3,0.0044,0.2909,0.0028,0.00083,0.00866884974991619,0.0007502780101367603
RSMProp_R4,0.65374,0.27406,0.29714,0.11641,0.3862120959128089,0.1431748423789442
